Dependents,tenure,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
No,6,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.34218359728018,437.44046911762973,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.26971089561293,70.26971089561293,Yes
No,57,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.51471953152873,5742.9850842773485,Yes
No,26,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,67.66992433376788,1713.8927445187235,Yes
No,5,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,40.26200006680121,223.09126144699528,Yes
No,66,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.11316480963205,6887.268269274926,Yes
No,7,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,92.12369200298863,631.8657876660393,Yes
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.49528631011202,81.49528631011202,Yes
No,49,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.83269497993848,4329.370000496518,Yes
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,79.89174787830365,79.89174787830365,Yes
No,30,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.00858362728697,2756.8148511423474,Yes
No,8,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.0351135235241,825.9188008910103,Yes
No,11,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.52600896440183,989.1237275930897,Yes
No,5,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.91198914981524,456.9239782996305,Yes
Yes,13,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,67.90206285996359,938.3619404367118,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,61.93471633064045,61.93471633064045,Yes
No,13,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.86858924602254,1207.3303641002667,Yes
No,44,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.84712387018409,4419.775390823463,Yes
No,3,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.424188510107946,155.90068226999247,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes
Yes,12,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.57765285136303,230.69783904639505,Yes
No,6,DSL,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.629857240611,267.4889850397841,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.07027114125695,70.07027114125695,Yes
No,11,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.1404236678628,523.471122822582,Yes
No,20,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,58.31935447361057,1164.3048375917633,Yes
No,21,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.09101165991481,2249.216481492446,Yes
No,10,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.577749312705805,179.71005123712956,Yes
No,13,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.81547601463254,1003.901821048778,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.638064992746823,24.638064992746823,Yes
No,12,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.86814899225013,1127.3978687161823,Yes
No,21,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.47026051031848,2119.2936815098205,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,25.67815159032005,25.67815159032005,Yes
No,18,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,93.09794221341555,1690.0817704418262,Yes
No,41,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.83712264414625,4250.436968710083,Yes
No,20,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,93.28284510369762,1967.3723843794553,Yes
No,16,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,65.96892471443716,1093.5163659219247,Yes
No,31,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,99.77405774411447,3194.5674015148493,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,26.80219539248574,26.80219539248574,Yes
No,2,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.82856941883804,194.85714108857746,Yes
No,23,DSL,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),42.30606014137991,932.2468876201439,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,Yes
No,14,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.87724216092171,1110.1566968405202,Yes
Yes,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,71.31789685400483,71.31789685400483,Yes
No,6,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.98574708256183,523.0240678892121,Yes
No,35,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.98502684676222,2369.5137212990935,Yes
No,27,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.34204034249024,2726.08715336475,Yes
No,12,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.10009842052693,898.9939051939965,Yes
No,39,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.01452161130679,4027.016490121127,Yes
No,13,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.52559592181927,1250.533409523479,Yes
No,3,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.26317769953222,147.17566812107628,Yes
No,2,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,44.890259962665056,76.12132147688072,Yes
No,1,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.58750228101584,97.58750228101584,Yes
No,7,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.10444061486999,653.5591452403327,Yes
No,54,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Electronic check,97.93263068003486,5282.4890229146185,Yes
No,4,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,92.3812087115939,424.7626120638414,Yes
No,69,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,105.76632282984185,7277.467788311531,Yes
No,5,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.95049941191536,517.0171734986893,Yes
No,13,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.130589967668456,713.3829148081117,Yes
Yes,4,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,50.038329262681735,228.781834884911,Yes
No,46,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Electronic check,98.77671997233782,4757.178605943486,Yes
No,4,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.69843887547327,367.7121909853687,Yes
No,35,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5820634867841,3478.3341460129514,Yes
No,15,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.843089944327826,404.0124412103257,Yes
No,62,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.00114785775823,6877.93535165906,Yes
No,12,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,59.48120902916068,726.5516503104516,Yes
No,10,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,48.82291934708047,468.3944850132007,Yes
No,41,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.34147715696305,3165.843293166553,Yes
No,62,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.2210273421634,6035.999047219502,Yes
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.91393642480821,85.91393642480821,Yes
No,2,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.80091154683389,187.6826749939533,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.99159295255303,79.99159295255303,Yes
No,4,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.684899777118826,81.45722160106212,Yes
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),53.5715308364943,99.76855665922884,Yes
No,3,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.32331142341017,294.75911529142815,Yes
No,6,DSL,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,48.259906623703905,270.83034409237376,Yes
No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.3386707057044,19.3386707057044,Yes
No,4,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.32263868402946,333.51304465044535,Yes
No,2,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.192537542931536,35.85577689735695,Yes
No,25,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,96.79097606490146,2506.0525388350843,Yes
No,30,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7550117145101,2921.8841448407625,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,44.64880966526197,44.64880966526197,Yes
No,18,DSL,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),62.5015229660584,991.3818654215034,Yes
No,15,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.74721652777481,1197.6352475910505,Yes
No,18,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Mailed check,92.58304111393197,1756.7515776778582,Yes
No,58,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,21.617980656196814,1184.0079732984789,Yes
No,1,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.856733518316865,54.856733518316865,Yes
No,17,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.36192318625932,1695.1942805554895,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,45.67169907875561,45.67169907875561,Yes
No,13,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.98774075394672,1198.6862769594582,Yes
No,2,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.00474421351898,172.34024009747517,Yes
No,5,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.2131075918543,412.9684346122835,Yes
No,2,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.09400092434008,196.15983830432108,Yes
No,16,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.29254447387794,1233.4245019211953,Yes
No,22,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,94.09629769648578,1914.9969448954548,Yes
No,16,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.93031253498486,1518.740690109054,Yes
No,3,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.15237933434993,227.02698561017925,Yes
No,43,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.91776185748199,4529.6651738660785,Yes
No,15,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.63404519471797,1146.686468126359,Yes
No,2,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.94038339397272,132.2821405888065,Yes
No,2,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.11612610924213,173.75829148589253,Yes
No,4,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.89702568834232,305.86144310626497,Yes
No,18,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.89331261486058,1656.7195299653752,Yes
No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.024516939017143,20.024516939017143,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,45.36347220687748,45.36347220687748,Yes
No,3,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.67946217382274,236.73907300974864,Yes
No,7,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.02737629540867,641.4338189974895,Yes
No,14,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.30315674561015,1115.6237582422737,Yes
No,3,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,35.27279354950757,126.73721348017033,Yes
Yes,13,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.20712220045125,940.3211396668069,Yes
No,4,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,79.92382423604921,306.0583355579327,Yes
No,54,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.8989701299864,4874.355619502567,Yes
No,21,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.04224093781788,2097.1597318087515,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,73.86001894093761,73.86001894093761,Yes
No,25,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.7733754754047,2279.8318141639165,Yes
No,9,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.58153785422496,795.4397499592754,Yes
Yes,63,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.39602192855345,6603.05087744008,Yes
No,8,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,45.084086866759385,435.9612140700972,Yes
No,2,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,49.25,90.83136463760107,Yes
No,8,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,87.563073836997,731.452488534501,Yes
No,44,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.34660165785586,4398.811019502643,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes
No,37,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.6876499439644,2597.565192684975,Yes
No,15,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.41738006217611,1147.1817027150262,Yes
No,6,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.03229694855328,363.34897051401066,Yes
No,10,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.1435029796463,829.4549340078677,Yes
No,33,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.81322589267717,3035.2114114247665,Yes
No,44,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,85.86410947038792,3844.3702155038027,Yes
No,50,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.11134046791254,3953.4075726247816,Yes
No,20,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,80.92169661443737,1629.5097015287054,Yes
No,36,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.20008929246,3641.929075888199,Yes
No,69,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.98138241464787,8063.25144325765,Yes
No,34,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.62302104322048,3493.458905840713,Yes
No,24,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.33733892689546,2177.024521590514,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.61012429773517,69.61012429773517,Yes
No,25,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.48962078123004,2370.3709500970363,Yes
Yes,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.033833498135373,29.396239263371374,Yes
No,8,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,95.14527487939557,842.2081148619855,Yes
No,11,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.69749370625888,1121.4945120316956,Yes
No,4,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.46822594972734,318.7472988224475,Yes
No,9,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.06986252103754,928.4638543886583,Yes
No,3,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.92534180536107,225.4117076330266,Yes
No,3,DSL,Yes,No,No,No,Month-to-month,No,Credit card (automatic),53.78075482862762,182.2706827508879,Yes
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,44.63330994027923,80.6289707572912,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,45.61203352573786,45.61203352573786,Yes
No,7,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.30656169963831,669.515339930038,Yes
No,20,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,61.80305442953096,1232.4067630055426,Yes
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,88.7232894812466,88.7232894812466,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.58036708089043,24.58036708089043,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.98193457385851,74.98193457385851,Yes
No,13,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.084292156024,1359.5414937742817,Yes
No,4,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.71872422565946,347.3877067430006,Yes
No,2,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.69332601413612,145.17766246294647,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.56670963570865,69.56670963570865,Yes
No,3,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.60210319214414,294.69353813143334,Yes
No,8,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.46297413990519,737.4898569441564,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.776492071065036,49.776492071065036,Yes
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.76118349536178,81.76118349536178,Yes
No,18,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.568948032599316,875.857505949087,Yes
No,65,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.74459944559355,6860.479182192644,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,76.27182275050899,76.27182275050899,Yes
No,13,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.88293112241033,1362.6216755140665,Yes
No,69,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.19497790926309,7118.137499723382,Yes
No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.629717930788033,20.629717930788033,Yes
No,55,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.22585442420119,5797.7332539520185,Yes
No,1,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.2,20.2,Yes
No,1,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.57157284338331,94.57157284338331,Yes
No,14,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,49.12622636857043,679.4641998273258,Yes
No,21,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.93824002661653,1812.2494544849624,Yes
No,29,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.90051425700236,2579.6376200817936,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,50.619800048319284,50.619800048319284,Yes
No,22,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,94.14135884458922,1914.3280578646986,Yes
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.7190733771598,81.7190733771598,Yes
No,6,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.79024141848419,665.6529075750176,Yes
No,33,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,80.38861019653795,2721.598918990098,Yes
No,4,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.28506958718281,200.72112588124506,Yes
No,3,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.34656973294938,235.59144602106423,Yes
No,10,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.354157695004258,172.94646673269932,Yes
Yes,27,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,75.55774078355779,1986.9957216171686,Yes
No,7,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,72.54264945922576,547.2008420144658,Yes
No,10,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,65.52777660644287,644.2547243770518,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.22091947666893,69.22091947666893,Yes
No,4,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.735313250398644,82.63751000531525,Yes
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,39.57366570797872,83.51009971634659,Yes
No,44,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.91878274387322,4085.0967345248673,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,25.582031924013275,25.582031924013275,Yes
No,12,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,80.76193495568762,996.1876065036928,Yes
No,11,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.50881895383084,1056.1835010347804,Yes
No,26,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.66917942931263,2455.519232998811,Yes
No,43,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4202143858247,4393.84177629643,Yes
No,20,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,72.07676541948608,1468.8609013129649,Yes
No,59,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),101.05086176509892,6039.147807019591,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,24.653224778331474,24.653224778331474,Yes
No,32,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.07307442698747,3023.0962786506266,Yes
No,18,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.28064746970456,1776.3015231407862,Yes
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,79.16752309462989,79.16752309462989,Yes
No,44,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.11502893990887,3999.3098043622253,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.55956543350635,75.55956543350635,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,50.82347744089758,50.82347744089758,Yes
No,36,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.08015494919943,2594.5130434191115,Yes
No,13,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.12274282458152,1121.2151566032562,Yes
No,56,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,112.4618223246892,6442.495009168171,Yes
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,79.03668178743325,79.03668178743325,Yes
No,2,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,88.54613448471835,163.01573150373522,Yes
No,24,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.40410681843605,1762.023972860823,Yes
No,4,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,72.94649643503195,317.29503029371295,Yes
No,30,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,87.23498870233489,2768.2367418367944,Yes
No,20,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,65.99438401693666,1238.3479821286671,Yes
No,10,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,72.15872688301612,794.2338391055257,Yes
No,25,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,62.13605759795425,1546.4563382766112,Yes
No,52,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,84.99296751429719,4341.470541185051,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,48.98418897419215,57.01228787769847,Yes
No,70,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.38328134642136,3514.2478487984304,Yes
No,38,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,76.99372319251567,3015.740207932007,Yes
No,7,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,86.49580820247452,587.4716385918365,Yes
No,11,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.76515829799825,497.9827196789711,Yes
No,14,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.44548966430997,1268.0337629120775,Yes
No,66,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.5,6720.707265386383,Yes
No,2,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.9438522868392,166.1424884623165,Yes
No,2,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,80.1954785125366,159.93510853851473,Yes
No,16,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.60390893135713,1572.5964058072539,Yes
No,17,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.34192119233708,1615.2265408520002,Yes
Yes,7,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,34.029414696033996,276.116212151611,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,46.12148227907557,46.12148227907557,Yes
No,1,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.86692338377901,93.86692338377901,Yes
No,5,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,88.67690606395965,477.6792497327049,Yes
No,5,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,62.1095038359672,341.26685662510783,Yes
No,11,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,30.451960684961904,311.2704296590824,Yes
No,7,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,73.66045821648802,530.1368276311587,Yes
No,10,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,85.1266047084738,857.245848827913,Yes
No,58,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Electronic check,97.83391581227247,5744.296438430903,Yes
No,25,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.87509804809821,2185.3112463850302,Yes
No,5,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.46741252431201,536.8782719321058,Yes
No,42,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.41199421971672,4426.772615607498,Yes
No,2,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.43786153168455,193.0145666768662,Yes
